country,MEP,party,handle
CH,Hans Grunder,,
CH,Franz Grüter,,
CH,Jean-Paul Gschwind,,
CH,Niklaus-Samuel Gugger,,
CH,Bernhard Guhl,,BernhardGuhl
CH,Diana Gutjahr,,
CH,Barbara Gysi,,
CH,Petra Gössi,,
CH,Philipp Hadorn,,PhilippHadorn
CH,Thomas Hardegger,,
CH,Markus Hausammann,,
CH,Alfred Heer,,
CH,Bea Heim,,beaheim
CH,Verena Herzog,,
CH,Erich Hess,,
CH,Lorenz Hess,,
CH,Hugues Hiltpold,,hhiltpold
CH,Ruth Humbel,,
CH,Thomas Hurter,,
CH,Christian Imark,,
CH,Beat Jans,,
CH,Matthias Samuel Jauslin,,
CH,Peter Keller,,
CH,Barbara Keller-Inhelder,,
CH,Margret Kiener Nellen,,
CH,Hansjörg Knecht,,
CH,Philipp Kutter,,
CH,Irène Kälin,,
CH,Roger Köppel,,
CH,Martin Landolt,,LandoltMartin
CH,Christian Lohr,,Ch_Lohr
CH,Christian Lüscher,,
CH,Jacques-André Maire,,MaireJack
CH,Géraldine Marchand-Balet,,
CH,Christa Markwalder,,
CH,Ada Marra,,ada_marra
CH,Min Li Marti,,
CH,Samira Marti,,
CH,Magdalena Martullo-Blocher,,
CH,Nadine Masshardt,,nmasshardt
CH,Thomas Matter,,
CH,Lisa Mazzone,,
CH,Giovanni Merlini,,
CH,Mattea Meyer,,
CH,Fabian Molina,,
CH,Isabelle Moret,,isabellemoret
CH,Tiana Angelina Moser,,
CH,Martina Munz,,
CH,Leo Müller,,
CH,Thomas Müller,,
CH,Walter Müller,,
CH,Stefan Müller-Altermatt,,MullerAltermatt
CH,Felix Müri,,
CH,Martin Naef,,
CH,Philippe Nantermod,,
CH,Jacques Nicolet,,
CH,Yves Nidegger,,
CH,Roger Nordmann,,NordmannRoger
CH,Eric Nussbaumer,,enussbi
CH,Nicolo Paganini,,
CH,Pierre-André Page,,
CH,Roberta Pantani,,RobiPanta
CH,Corrado Pardini,,
CH,Bruno Pezzatti,,
CH,Gerhard Pfister,,
CH,Nadja Pieren,,
CH,Valérie Piller Carrard,,Valerie_Piller
CH,Hans-Peter Portmann,,
CH,Rosmarie Quadranti,,
CH,Lorenzo Quadri,,LorenzQuadri
CH,Fabio Regazzi,,
CH,Lukas Reimann,,lukasreimann
CH,Maximilian Reimann,,
CH,Mathias Reynard,,MathiasReynard
CH,Kathy Riklin,,KathyRiklin
CH,Jean-François Rime,,
CH,Markus Ritter,,
CH,Benjamin Roduit,,
CH,Marco Romano,,MarcoRomanoPPD
CH,Franz Ruppen,,
CH,Gregor Rutz,,
CH,Regula Rytz,,
CH,Albert Rösti,,
CH,Werner Salzmann,,
CH,Regine Sauter,,
CH,Silvia Schenker,,SchenkerSilvia
CH,Peter Schilliger,,
CH,Daniela Schneeberger,,
CH,Elisabeth Schneider-Schneiter,,Elisabeth_S_S
CH,Pirmin Schwander,,
CH,Priska Seiler Graf,,
CH,Silva Semadeni,,
CH,Heinz Siegenthaler,,
CH,Sandra Sollberger,,
CH,Carlo Sommaruga,,CarloSommaruga
CH,Luzi Stamm,,
CH,Barbara Steinemann,,
CH,Marianne Streiff-Feller,,MarianneStreiff
CH,Adèle Thorens Goumaz,,
CH,Manuel Tornare,,ManuelTornare
CH,Aline Trede,,alinetrede
CH,Mauro Tuena,,
CH,Michael Töngi,,mtoengi
CH,Albert Vitali,,
CH,Karl Vogler,,
